course,link
main,https://www.thespruceeats.com/mexican-rice-with-tomatoes-3060227
starter,https://www.yummymummykitchen.com/2017/05/how-to-make-salsa-with-fresh-tomatoes.html
starter,https://www.tasteofhome.com/recipes/spinach-quesadillas/
starter,https://cookieandkate.com/2013/crispy-mushroom-spinach-and-avocado-quesadillas/
main,https://cookieandkate.com/2015/lentil-couscous-stuffed-peppers-recipe/
main,https://www.thespruceeats.com/spanish-tomato-sauce-sofrito-sauce-recipe-3083539
main,https://www.thespruceeats.com/spinach-rice-pilaf-2217503
main,https://www.thespruceeats.com/individual-spinach-shakshukas-4155814
main,https://www.thespruceeats.com/spinach-and-cheese-empanadas-3029739
soup,https://www.yummymummykitchen.com/2017/08/how-to-make-tomato-soup-with-fresh-tomatoes.html
starter,https://www.tasteofhome.com/recipes/fresh-tomato-mexican-salsa/
main,https://www.tastyeverafter.com/mexican-spiced-roasted-broccoli/
starter,https://www.thespruceeats.com/corn-fritters-2217385
salad,https://www.thespruceeats.com/grilled-corn-salad-4036012
main,https://www.thespruceeats.com/elote-mexican-street-corn-4172094
main,https://www.thespruceeats.com/esquites-mexican-corn-off-the-cob-4135602
main,https://www.thespruceeats.com/vegetarian-mushroom-fajitas-recipe-3377114
starter,https://www.thespruceeats.com/sauteed-mushrooms-and-broccoli-rabe-recipe-4049978
main,https://www.tastyeverafter.com/mexican-spiced-roasted-broccoli/
salad,http://www.wholesomelicious.com/broccoli-and-apple-rainbow-salad/
main,https://www.culinaryhill.com/chipotle-grilled-peppers-and-onions/
main,https://cookieandkate.com/2015/spinach-artichoke-enchiladas/

